CustomerID,NumTransactions,TotalSpent,UniqueProducts
12346,1,77183.6,1
12347,7,4310.0,103
12348,4,1797.24,22
12349,1,1757.55,73
12350,1,334.4,17
12352,8,2506.04,59
12353,1,89.0,4
12354,1,1079.4,58
12355,1,459.4,13
12356,3,2811.43,53
12357,1,6207.67,131
12358,2,1168.06,13
12359,4,6310.03,214
12360,3,2662.06,105
12361,1,189.9,10
12362,10,5226.23,201
12363,2,552.0,23
12364,4,1313.1,70
12365,2,641.38,22
12367,1,168.9,11
12370,4,3541.94,143
12371,2,1887.96,63
12372,3,1298.04,34
12373,1,364.6,14
12374,1,742.9300000000001,33
12375,2,457.5,14
12377,2,1628.12,72
12378,1,4008.62,219
12379,2,852.24,39
12380,4,2724.81,77
12381,5,1845.31,70
12383,5,1850.56,84
12384,2,585.27,26
12386,2,401.9,10
12388,6,2780.66,57
12390,1,549.84,32
12391,1,439.66,92
12393,4,1582.6000000000001,47
12394,2,1272.48,26
12395,12,3018.63,91
12397,2,2409.9,110
12398,1,1635.6599999999999,85
12399,4,1108.65,47
12401,1,84.3,5
12402,1,225.6,11
12403,1,427.7,5
12405,1,1710.39,54
12406,2,3415.3,92
12407,5,1708.1200000000001,57
12408,5,2888.55,81
12409,3,11072.67,91
12410,2,693.3299999999999,26
12412,3,1226.88,43
12413,3,758.1,29
12414,3,562.41,16
12415,21,124914.53,444
12417,9,3649.1,158
12418,1,668.58,34
12420,1,600.39,29
12421,4,807.04,32
12422,3,803.5600000000001,39
12423,8,1859.31,97
12424,2,1760.96,30
12425,1,777.2,36
12426,1,582.73,30
12427,3,825.8,26
12428,9,7956.46,258
12429,4,3750.4,82
12430,1,256.4,11
12431,15,6419.95,163
12432,5,5059.32,107
12433,7,13375.87,219
12434,2,806.14,46
12435,2,7829.89,31
12436,1,509.01,16
12437,18,4951.41,118
12438,2,2906.85,84
12441,1,173.55,11
12442,1,172.06,12
12444,5,5005.46,138
12445,1,133.4,4
12446,1,1002.3100000000001,57
12447,1,476.49,26
12448,1,449.45,22
12449,4,4067.29,118
12450,2,197.88,7
12451,5,9035.52,265
12452,2,430.57,21
12453,1,707.09,43
12454,1,3528.34,15
12455,6,2466.86,85
12456,3,3181.04,105
12457,7,2363.23,53
12458,2,947.4,35
12461,2,826.88,35
12462,2,1189.59,51
12463,4,1344.78,65
12464,8,1212.05,6
12465,2,742.1899999999999,46
12468,2,729.5400000000001,36
12471,30,19788.65,150
12472,7,6572.11,219
12473,5,3928.0499999999997,140
12474,18,7324.09,253
12475,1,723.38,36
12476,11,6816.42,177
12477,6,13219.74,191
12478,1,680.99,36
12479,1,527.2,31
12480,4,3281.63,129
12481,10,5579.82,150
12483,8,2484.98,46
12484,6,4527.32,256
12488,3,1298.66,46
12489,1,334.93,15
12490,10,5417.93,131
12491,1,460.40000000000003,25
12492,2,263.21000000000004,19
12493,2,433.74,20
12494,7,1246.1000000000001,63
12497,1,1043.1,14
12498,3,403.70000000000005,21
12500,11,4257.82,34
12501,1,2169.39,149
12502,5,3723.87,102
12504,2,482.04999999999995,6
12506,1,73.5,23
12507,3,1304.81,19
12508,2,397.88,57
12509,1,176.5,7
12510,2,982.5699999999999,29
12512,2,132.18,31
12513,1,612.29,35
12514,1,1017.68,51
12515,1,383.7,16
12516,2,1312.06,20
12517,5,2481.6,232
12518,5,2056.89,84
12519,1,330.84,17
12520,5,2634.26,121
12521,1,599.68,38
12522,2,192.72,11
12523,11,1789.77,84
12524,8,4485.72,113
12526,3,1316.66,64
12527,3,348.71000000000004,18
12528,6,1933.48,50
12530,4,1662.28,51
12531,1,125.22,17
12532,1,349.83000000000004,16
12534,1,1089.18,63
12535,2,716.35,28
12536,3,12601.830000000002,260
12538,1,363.95,21
12539,4,5568.35,157
12540,17,13400.24,277
12541,3,981.18,46
12544,1,372.7,19
12545,2,1000.39,42
12546,2,1161.5,59
12547,2,207.79999999999998,7
12548,1,95.19999999999999,5
12550,1,964.83,57
12551,1,168.0,10
12552,2,437.82,20
12553,10,3692.28,95
12556,2,599.56,100
12557,5,11990.960000000001,15
12558,1,269.96,11
12559,2,561.71,21
12560,3,2134.01,91
12561,1,238.85,16
12562,7,3781.7400000000002,99
12564,1,456.9,21
12565,1,145.92,9
12566,1,351.65,19
12567,10,9401.28,323
12569,32,4124.69,92
12571,2,519.61,31
12572,2,1020.42,53
12573,1,160.54000000000002,26
12574,1,218.45,11
12576,5,1315.83,72
12577,3,626.6,137
12578,2,2794.51,111
12579,1,440.42,29
12580,1,415.7,24
12581,1,197.71,15
12582,2,511.36,21
12583,15,7281.38,115
12584,9,2338.15,44
12585,2,2040.1,77
12586,1,196.94000000000003,11
12587,1,144.0,4
12588,1,214.89999999999998,10
12589,2,646.68,29
12590,2,9864.26,68
12591,1,452.84999999999997,26
12592,2,437.6,11
12593,3,418.09999999999997,14
12594,10,3338.2200000000003,50
12596,2,618.27,25
12597,4,3811.22,184
12598,8,3023.08,84
12599,7,1032.58,32
12600,10,2599.04,32
12601,5,577.0600000000001,21
12602,1,153.12,12
12603,1,739.1999999999999,2
12604,2,254.18,15
12607,1,1579.51,101
12609,3,1126.85,57
12610,5,2099.54,85
12611,1,1193.32,65
12612,1,704.0400000000001,19
12613,5,3344.38,124
12614,1,315.6,20
12615,4,2291.19,82
12616,2,713.3,25
12617,1,352.98,39
12618,1,177.31,11
12619,9,3641.24,50
12620,3,1339.41,89
12621,20,13689.67,261
12622,1,180.1,11
12623,1,305.1,18
12624,2,641.13,36
12625,2,2683.82,73
12626,9,6620.48,232
12627,7,4478.53,162
12628,3,786.46,34
12630,2,1270.88,60
12631,1,640.5,31
12633,4,2163.98,73
12635,2,1689.18,96
12637,8,6002.9,205
12638,1,671.69,39
12639,1,486.1,22
12640,3,1174.58,47
12641,1,185.9,10
12642,3,1013.26,39
12643,6,3344.64,11
12644,1,477.91,31
12645,4,1775.18,58
12646,2,1346.97,43
12647,12,3722.82,78
12648,1,318.05,21
12649,3,623.51,28
12650,1,314.44,20
12651,1,114.0,9
12652,1,919.98,48
12653,2,2209.85,37
12654,5,601.98,31
12656,5,4051.17,89
12657,4,1643.18,35
12658,1,686.05,36
12659,1,91.68,5
12660,1,245.1,13
12662,11,3849.78,129
12664,9,4881.88,10
12665,1,63.0,3
12667,1,620.13,33
12668,4,3807.15,115
12669,3,2744.0299999999997,98
12670,5,2996.05,58
12672,1,225.89999999999998,10
12673,2,610.52,42
12674,4,1970.6,52
12676,6,1331.39,33
12678,12,17628.46,105
12679,4,1113.02,43
12680,4,862.81,33
12681,22,13787.54,267
12682,31,12279.82,209
12683,15,8476.57,177
12684,7,2283.63,61
12685,6,2863.08,117
12686,1,89.14,7
12688,1,4873.8099999999995,171
12689,2,1247.61,57
12690,1,389.01,16
12691,6,1035.8,21
12693,4,855.91,35
12694,2,869.67,32
12695,4,582.1,23
12697,3,957.59,37
12700,4,4939.99,193
12701,2,797.71,50
12702,1,219.0,12
12703,1,283.55,21
12704,8,2340.84,64
12705,9,6868.29,228
12707,1,603.42,33
12708,10,2712.91,86
12709,15,9706.52,93
12710,3,1149.02,75
12712,13,4396.13,58
12713,1,848.55,38
12714,5,4708.86,216
12715,1,343.36,20
12716,2,1053.49,60
12717,2,1030.98,49
12718,1,238.25,19
12719,2,644.95,34
12720,25,5781.73,211
12721,6,2656.13,133
12722,4,997.63,50
12723,5,725.07,53
12724,4,1031.41,47
12725,1,427.8,24
12726,7,2609.1,57
12727,7,3980.7,109
12728,4,836.33,38
12729,1,453.01,26
12731,12,18895.91,109
12732,1,236.26000000000002,12
12733,1,383.95,22
12734,1,110.39999999999999,4
12735,2,779.5699999999999,38
12736,1,234.0,4
12738,1,155.35,11
12739,2,1013.04,38
12740,1,427.6,27
12743,2,540.13,114
12744,7,21279.29,178
12747,11,4196.01,42
12748,209,33053.19,1768
12749,5,4090.88,160
12750,1,275.88,15
12752,1,4366.78,53
12753,6,21429.39,132
12754,3,3010.74,49
12755,2,3811.95,4
12756,1,112.07999999999998,4
12757,13,7834.650000000001,237
12758,2,2791.59,84
12759,3,1531.44,81
12762,2,1898.52,62
12763,2,494.08,16
12764,1,1693.88,45
12766,7,6989.63,205
12769,1,1143.6,32
12770,1,1351.45,12
12772,1,892.47,55
12775,5,1386.04,47
12778,6,822.23,40
12779,8,3981.36,88
12781,2,826.74,25
12782,5,2330.92,81
12783,6,2225.91,76
12784,2,532.8199999999999,54
12785,1,311.95,14
12787,3,463.66,17
12789,1,91.85,4
12790,1,324.92,21
12791,1,192.60000000000002,2
12792,1,400.53999999999996,25
12793,2,545.48,21
12794,2,860.41,43
12795,1,430.48,14
12797,1,254.03,13
12798,3,6977.04,6
12802,1,427.58,25
12808,3,483.65000000000003,27
12809,1,489.31,25
12811,3,514.85,27
12812,1,229.64000000000001,15
12814,1,125.92,2
12815,2,1063.46,38
12816,2,572.2,27
12817,1,166.04,4
12818,1,1542.08,14
12820,4,942.34,55
12821,1,92.72,6
12822,2,948.88,41
12823,5,1759.5,1
12824,1,397.12,25
12826,7,1474.72,58
12827,3,430.15000000000003,19
12828,6,1018.71,46
12829,2,293.0,9
12830,6,6814.64,13
12831,1,215.05,9
12832,2,383.03,27
12833,1,417.38,24
12834,1,312.38,18
12836,4,2610.36,148
12837,1,134.1,12
12838,2,671.95,115
12839,14,5591.42,95
12840,4,2726.77,67
12841,25,3991.58,229
12842,2,1118.99,34
12843,8,1702.26,69
12844,2,325.96000000000004,47
12845,4,354.09,26
12847,1,843.64,72
12849,2,1010.29,47
12851,1,131.81,43
12852,1,311.55,17
12853,6,1957.1000000000001,66
12854,3,1316.25,95
12855,1,38.1,3
12856,6,2170.78,155
12857,2,1106.4,37
12863,1,521.2,5
12864,1,147.12,3
12865,2,1568.23,86
12866,1,559.12,26
12867,7,4009.34,240
12868,6,1607.0600000000002,72
12871,2,380.64,8
12872,2,599.97,58
12873,1,374.0,4
12875,2,343.2300000000001,1
12876,2,2218.02,67
12877,12,1535.77,100
12878,2,854.99,38
12879,3,573.22,7
12881,1,298.0,7
12882,2,1463.04,12
12883,4,703.47,39
12884,1,309.05,7
12885,3,1175.22,66
12886,2,1378.4,75
12888,2,354.12,4
12890,1,376.71999999999997,78
12891,3,331.0,2
12893,1,176.55,27
12895,2,372.8,22
12897,2,216.5,3
12901,28,17654.54,30
12902,1,138.68,10
12904,2,496.06,59
12906,5,2919.81,55
12908,2,750.0,1
12909,5,2178.67,78
12910,8,3075.04,48
12912,5,1662.3,17
12913,5,2483.63,37
12915,2,363.65,19
12916,4,2944.95,53
12917,1,594.0,2
12919,6,1335.19,34
12920,1,162.78,27
12921,37,16587.09,233
12922,1,405.38,28
12923,1,172.82,28
12924,4,933.7,22
12925,2,694.05,42
12928,5,2062.7000000000003,59
12929,1,117.85,8
12930,2,415.8,20
12931,15,42055.96,28
12933,3,607.53,102
12935,7,2160.7,80
12936,4,1063.9,56
12937,4,1504.27,81
12938,1,114.14,9
12939,8,11581.8,21
12940,2,899.69,87
12942,3,675.6,68
12944,2,604.51,29
12945,1,462.95,23
12947,6,1603.99,83
12948,7,2064.95,82
12949,8,4167.22,166
12950,3,1843.0,13
12951,6,1064.07,53
12952,4,1387.79,64
12953,1,329.85,17
12955,11,4757.16,81
12956,1,108.07,19
12957,8,4017.54,208
12962,2,266.39,15
12963,8,1856.63,75
12965,1,769.8100000000001,108
12966,1,160.18,10
12967,2,1660.9,19
12968,1,135.95,5
12970,4,405.47,116
12971,86,11189.91,94
12974,1,144.8,8
12976,1,738.6,22
12977,1,39.239999999999995,9
12980,9,7374.900000000001,6
12981,2,372.21999999999997,12
12982,1,390.54,28
12984,1,97.5,4
12985,2,1239.38,73
12987,2,558.7,27
12988,1,505.82,75
12989,15,6924.110000000001,41
12990,3,409.5,8
12991,2,503.76,31
12993,4,414.76,26
12994,3,974.4200000000001,52
12995,1,211.32,3
12997,4,1226.89,45
12999,3,455.88,25
13000,3,534.85,30
13001,13,9785.970000000001,166
13002,1,120.94999999999999,7
13003,3,149.05,4
13004,18,5655.91,277
13005,2,513.7,21
13006,1,81.57,4
13008,1,229.46999999999997,14
13011,1,50.550000000000004,3
13012,8,1646.8400000000001,67
13013,13,4810.9400000000005,155
13014,10,3466.2799999999997,67
13015,5,3339.64,156
13016,3,789.89,39
13017,1,204.0,1
13018,28,7277.7,313
13021,9,2616.38,101
13023,2,689.9,36
13026,5,975.36,32
13027,6,6912.0,6
13028,2,661.3199999999999,40
13029,3,1247.5,8
13030,2,752.4399999999999,76
13032,2,1010.18,55
13033,1,190.55,11
13034,2,642.77,37
13035,2,921.88,23
13037,3,881.07,44
13038,3,908.46,24
13040,2,676.99,38
13043,1,516.42,13
13044,1,560.47,33
13045,1,305.28000000000003,18
13046,2,629.31,33
13047,10,3237.54,106
13048,4,1819.41,77
13049,2,656.6800000000001,14
13050,17,5836.86,246
13052,1,348.15000000000003,18
13055,3,1214.41,74
13058,3,271.40000000000003,5
13059,1,183.4,8
13060,1,307.53,15
13061,1,248.61,10
13062,1,346.98,11
13064,4,1105.59,51
13065,1,205.86,14
13066,2,470.8,48
13067,1,115.46000000000001,14
13068,2,344.0,1
13069,24,4431.44,281
13070,1,228.8,9
13072,1,177.15,7
13075,1,919.61,22
13077,4,728.02,99
13078,26,12627.94,95
13079,5,220.10000000000002,2
13080,1,58.08,6
13081,11,28337.38,503
13082,9,3613.63,63
13083,2,303.75,15
13085,2,416.08000000000004,17
13089,97,58762.08,636
13090,14,8910.82,98
13091,1,345.82,21
13092,5,477.83,19
13093,8,7832.47,97
13094,12,1927.3200000000002,4
13095,1,74.39999999999999,6
13097,10,6003.22,214
13098,28,28882.44,156
13099,1,207.35999999999999,1
13101,1,101.19,8
13102,24,6424.09,140
13103,1,243.94,8
13104,6,1098.48,14
13106,1,76.5,1
13107,4,1531.6200000000001,54
13108,1,350.06,10
13109,2,786.54,41
13110,7,1488.67,109
13113,24,12245.960000000001,95
13115,4,2294.78,88
13116,1,501.14,30
13117,8,984.91,66
13118,5,1197.81,68
13120,1,30.599999999999998,1
13121,1,283.73,50
13122,2,922.39,54
13124,3,3756.33,185
13126,8,2099.64,124
13127,1,259.17,15
13130,1,64.0,2
13131,3,1073.3,30
13132,1,77.3,3
13133,2,109.8,7
13134,4,1793.58,94
13135,1,3096.0,1
13136,5,2607.61,94
13137,8,3603.29,345
13138,6,962.39,31
13139,7,5064.94,132
13140,3,422.47,40
13141,5,2388.75,113
13142,1,307.09,23
13144,1,110.95,3
13145,4,618.52,5
13146,1,228.91,16
13147,4,712.8000000000001,1
13148,12,3683.26,231
13149,4,1676.06,76
13151,1,1257.8700000000001,73
13153,1,486.22,15
13155,4,971.76,67
13157,4,1741.22,69
13158,4,1201.06,59
13159,4,1429.35,114
13160,1,91.8,4
13161,1,112.75,8
13162,4,1688.29,74
13165,2,1021.48,40
13166,1,417.2,39
13167,4,791.33,51
13168,4,1299.59,102
13169,2,712.88,11
13170,1,108.81,29
13171,3,468.41,37
13173,2,353.65,41
13174,3,2742.82,228
13176,1,481.49,66
13177,1,282.45,17
13178,11,5725.47,95
13182,1,121.18,11
13183,9,3957.78,51
13184,10,1668.95,138
13185,1,71.4,1
13186,3,1575.89,69
13187,1,236.02,37
13188,1,114.60000000000001,2
13189,2,260.68,29
13192,2,911.94,57
13193,1,112.08,22
13194,1,60.7,3
13196,4,1797.78,97
13198,6,3401.2400000000002,199
13199,38,9817.12,48
13200,4,870.09,42
13203,4,869.46,56
13207,2,250.26000000000002,7
13208,6,1217.65,124
13209,8,5891.61,255
13210,1,353.48,22
13211,3,1095.42,45
13212,3,786.83,128
13213,5,1520.58,82
13216,1,333.74,5
13217,3,533.98,3
13218,1,62.63999999999999,5
13220,4,819.2900000000001,18
13221,2,847.41,62
13223,2,163.20000000000002,5
13224,2,2155.95,101
13225,7,6463.84,23
13226,1,108.21000000000001,16
13227,1,257.7,9
13228,1,358.0,2
13229,1,160.95,10
13230,14,2755.63,393
13232,7,1328.35,147
13233,2,605.12,43
13235,1,1031.07,53
13236,2,744.85,34
13238,4,700.73,20
13239,1,329.56,21
13240,4,663.65,59
13242,3,270.40000000000003,12
13243,1,585.12,56
13244,1,121.74000000000001,27
13245,1,430.5,16
13246,6,1961.52,110
13247,4,501.12,18
13248,2,465.68,25
13249,3,711.41,21
13253,2,1030.4,35
13255,2,399.51,13
13258,3,672.83,28
13259,1,283.18,77
13260,1,557.62,8
13261,2,944.1,8
13262,1,200.29,11
13263,35,7436.93,450
13265,5,2092.66,66
13266,12,3834.2599999999998,82
13267,19,4521.49,88
13268,11,3174.75,257
13269,15,5343.28,177
13270,1,590.0,1
13271,1,211.49,79
13272,2,276.56,15
13273,1,138.98,16
13276,2,590.9300000000001,30
13277,4,258.4,5
13278,1,542.73,46
13279,1,137.75,9
13280,3,798.46,67
13282,3,1132.14,29
13283,2,93.66,7
13284,1,201.19,13
13285,4,2709.12,157
13291,1,361.11,41
13292,2,578.9399999999999,29
13294,2,873.74,48
13295,1,201.20000000000002,10
13296,1,87.4,5
13297,4,2089.85,52
13298,1,360.0,2
13299,1,142.5,5
13300,1,371.89,20
13301,4,618.09,75
13302,1,63.75,1
13304,1,300.42,21
13305,10,2000.86,50
13307,1,15.0,1
13308,3,1385.51,49
13309,5,1456.79,82
13310,3,1132.03,65
13311,2,598.57,25
13313,5,1555.32,47
13314,3,775.94,55
13316,4,5732.93,66
13317,6,2273.68,100
13318,3,640.76,14
13319,26,10845.550000000001,209
13320,4,1532.2,77
13321,2,567.36,10
13322,1,199.48000000000002,25
13323,5,787.85,6
13324,10,7121.95,25
13325,1,675.3,12
13327,8,3627.77,74
13328,1,1308.48,17
13329,2,789.0,16
13330,3,1140.93,37
13332,1,350.9,21
13334,3,3502.32,207
13336,1,795.12,51
13338,1,487.02,19
13339,1,860.12,54
13340,7,10736.48,128
13341,1,775.85,42
13343,1,353.43,19
13344,3,2511.69,115
13345,1,389.5,20
13347,1,341.36,8
13348,1,233.76,14
13349,1,247.32,16
13350,2,979.12,36
13351,1,373.94,16
13352,1,397.97999999999996,24
13354,1,743.53,51
13355,1,674.7,32
13356,1,768.24,42
13357,1,609.4,85
13358,1,439.03,29
13359,1,439.56,23
13362,4,3090.7400000000002,128
13363,2,992.5,47
13364,1,134.95999999999998,10
13365,2,2225.37,122
13366,1,56.160000000000004,1
13368,2,623.4,29
13369,1,308.28000000000003,14
13370,1,754.87,39
13372,1,378.64,23
13373,3,3312.25,135
13375,1,778.65,37
13376,3,1019.76,45
13379,3,572.56,85
13381,6,3639.31,77
13382,1,222.99,15
13384,7,4151.93,123
13385,1,534.57,35
13388,2,677.1,35
13389,3,797.96,50
13390,1,544.08,13
13391,1,59.8,1
13394,8,2520.02,124
13395,1,307.72,21
13396,2,1360.99,42
13397,5,1544.13,28
13398,1,457.34,26
13402,2,621.23,32
13403,1,75.0,3
13404,2,252.49,11
13405,3,572.451,25
13408,62,28117.04,234
13410,5,1003.06,15
13411,1,213.55,17
13414,3,1390.5,23
13416,2,712.5,11
13417,2,640.83,26
13418,18,6127.43,223
13419,1,221.06,16
13420,2,159.85,8
13421,2,1833.71,88
13422,1,2626.3,127
13425,3,1624.21,66
13426,10,3641.32,103
13427,3,582.6,25
13428,1,201.78,70
13429,4,1006.8,55
13430,2,679.45,48
13431,2,1269.1,44
13434,2,534.24,9
13435,7,3809.8900000000003,68
13436,1,196.89,12
13437,7,3408.06,143
13439,1,283.71,54
13441,1,296.64,13
13447,3,1129.14,55
13448,6,3534.69,137
13449,1,291.88,19
13450,6,2043.7199999999998,32
13451,5,2898.2599999999998,315
13452,2,590.0,1
13453,2,356.97999999999996,16
13455,2,1058.34,42
13456,6,1766.72,43
13458,14,9646.57,242
13460,2,183.44,16
13461,3,1445.0,14
13462,1,151.5,9
13464,1,674.68,41
13466,1,307.9,17
13467,2,1071.91,89
13468,37,5704.97,184
13470,2,165.0,7
13471,4,2501.84,214
13473,2,422.64,21
13474,1,226.84,59
13475,4,1431.78,64
13476,2,1238.47,56
13477,6,1454.58,57
13479,2,300.95,14
13481,5,1804.56,98
13482,1,184.64,11
13483,1,140.34,10
13484,1,313.8,8
13485,1,454.24,23
13486,3,1122.41,69
13487,3,575.4,26
13488,13,8968.31,271
13489,4,449.52,11
13491,10,1215.82,73
13492,3,1269.84,38
13493,2,618.63,6
13494,1,316.26000000000005,18
13495,5,2044.8700000000001,34
13496,2,653.33,28
13497,2,348.05,19
13499,5,1159.11,31
13500,3,1166.77,60
13501,1,1340.32,52
13502,3,292.0,17
13503,1,216.85,17
13504,1,295.93,22
13505,4,4393.63,182
13506,2,458.52,26
13507,4,2479.16,146
13508,1,110.97,12
13509,7,979.72,27
13510,4,1791.56,86
13512,1,251.21,15
13513,1,205.1,10
13514,1,152.20000000000002,4
13515,4,891.12,50
13516,3,1389.41,43
13517,3,2128.42,125
13518,1,627.16,36
13519,1,122.75,8
13520,6,3624.35,49
13521,3,1071.73,313
13522,1,125.80000000000001,5
13523,5,3964.88,157
13524,5,680.1800000000001,17
13525,2,628.78,5
13527,7,2242.36,153
13529,2,307.76,15
13531,2,483.8,17
13532,1,210.31,66
13533,3,269.09,61
13534,25,5870.08,119
13536,7,3444.39,91
13538,7,1280.85,10
13539,3,631.34,35
13544,2,276.06,76
13546,3,621.09,72
13548,2,678.16,114
13549,7,918.2,37
13551,1,91.80000000000001,4
13552,12,3740.07,82
13555,4,4098.88,128
13557,2,584.06,31
13558,4,594.52,123
13560,1,171.42000000000002,32
13561,1,141.85999999999999,14
13562,3,1799.33,50
13563,2,777.53,49
13564,3,1724.67,68
13565,2,240.22,35
13566,2,856.84,134
13568,1,187.05,41
13569,2,338.62,73
13570,1,239.49,27
13571,12,2088.94,157
13572,1,1384.25,32
13573,2,290.25,24
13575,5,732.0699999999999,41
13576,18,6717.34,78
13577,4,1687.6000000000001,61
13579,2,467.04,19
13581,1,118.0,10
13583,1,781.03,53
13584,1,142.4,24
13587,1,712.4,8
13588,9,2478.95,131
13589,2,379.65,21
13590,6,1981.92,70
13591,3,1117.13,56
13592,4,247.95999999999998,15
13593,5,2011.88,77
13594,1,396.97,26
13596,2,664.11,133
13598,1,160.04,33
13599,21,5149.92,171
13600,1,219.52,19
13601,2,693.32,90
13602,1,428.89,23
13603,1,164.34,27
13606,3,276.75,40
13607,1,675.51,93
13610,7,1082.33,165
13611,3,1154.4,67
13614,4,1585.46,171
13615,1,417.69,23
13617,3,544.18,31
13618,1,177.34,13
13621,1,213.85,19
13623,5,727.74,75
13626,1,257.23,19
13627,5,1638.47,84
13629,11,7792.36,28
13630,7,2031.78,51
13631,11,3070.42,6
13632,5,2118.93,121
13634,5,1547.3600000000001,156
13635,1,1071.03,62
13636,5,949.12,57
13637,3,804.3,79
13638,1,122.64,8
13639,1,1033.34,39
13642,1,312.28,57
13643,3,519.44,24
13644,4,2624.26,144
13645,1,252.1,5
13647,4,1648.1200000000001,65
13649,2,346.6,23
13650,6,1836.34,79
13651,2,94.2,6
13652,3,1095.08,48
13654,6,2707.33,157
13655,2,932.97,52
13656,2,379.65,49
13657,2,382.14,16
13658,5,2639.17,91
13659,2,1563.0,92
13662,3,881.26,50
13663,1,189.47,13
13666,3,84.65,12
13667,1,299.05,82
13668,21,6309.83,284
13669,2,218.55,9
13670,1,349.7,25
13672,2,186.39000000000001,4
13673,2,387.44,47
13675,2,486.82000000000005,25
13678,1,232.6,16
13680,4,3719.12,164
13681,4,827.83,37
13682,1,59.5,3
13684,1,65.13,29
13685,7,3119.44,29
13686,1,72.0,8
13689,1,910.0,6
13690,1,172.25,9
13692,3,1488.32,48
13694,50,65039.62,366
13695,15,2504.13,46
13697,1,151.29999999999998,12
13699,1,308.58000000000004,14
13700,10,2248.63,139
13703,1,99.5,1
13704,9,2308.06,111
13705,3,711.86,25
13706,1,330.79,20
13707,2,806.41,48
13708,1,285.33,49
13709,13,6307.650000000001,244
13710,1,180.48,8
13711,2,252.06,11
13712,1,228.84,10
13715,5,1077.39,89
13716,1,138.28,21
13717,6,1445.01,92
13718,2,306.55,9
13719,5,1041.68,56
13720,4,799.9,42
13721,1,524.14,28
13722,3,2375.41,75
13723,1,199.85000000000002,6
13725,8,1980.56,95
13726,2,1079.6599999999999,39
13727,2,333.48,19
13728,6,1016.14,38
13730,2,752.6,38
13731,2,610.59,36
13732,1,491.86,33
13735,4,2883.54,158
13736,2,729.8,166
13737,1,339.59999999999997,29
13739,1,216.9,3
13740,1,350.75,23
13741,3,668.4300000000001,34
13742,12,3107.87,200
13743,7,1341.6,8
13744,2,1080.52,54
13745,1,300.04,25
13747,1,79.6,1
13748,5,948.25,24
13750,5,1647.26,20
13751,1,296.25,9
13752,6,1175.38,64
13753,1,741.26,35
13754,2,282.59999999999997,11
13755,9,2108.06,232
13756,14,5189.52,66
13758,7,3190.55,104
13759,2,659.4100000000001,24
13760,2,286.79,50
13761,2,1070.65,68
13762,1,306.72,7
13763,1,1714.96,15
13764,3,1519.42,183
13767,37,17220.36,55
13769,10,2796.51,73
13771,4,2634.45,114
13772,3,1122.63,141
13774,1,345.0,22
13777,33,25977.16,36
13778,1,178.7,9
13780,2,360.01,56
13781,1,127.84,17
13782,6,908.86,96
13784,11,2462.79,9
13786,1,230.39999999999998,7
13787,2,309.04,24
13790,1,348.8,45
13791,2,1516.0,7
13792,2,195.55,13
13798,57,37153.85,113
13799,2,688.86,32
13800,1,558.32,33
13801,1,324.8,23
13802,3,4599.42,55
13803,1,277.07,17
13804,7,2588.39,124
13805,2,924.6,10
